0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-670.19543,65.06385,0.8889546,14.715979,9.182165,0.6605749,-3.846836,-3.5839465,-12.959006,-3.300133,0.9107795,-3.597036,2.3762746,-4.3889413,0.54508024,0.89185154,-4.80259,-2.105414,-1.6059692,-1.0523903,-7.067281,-0.6230611,-2.7280293,-5.307361,-1.9691168,-0.94615287,-5.721111,0.3329911,-2.5438454,0.18220851,-2.3510978,-2.5047271,-3.1515074,-2.1908991,-3.8017597,-1.8130877,-1.2612224,-2.1449542,-4.1521735,-1.7796154,neutral
-660.23035,63.325817,-2.6304572,17.983355,9.407704,-0.981498,-2.3246973,-6.8480315,-14.13367,-2.2003322,0.48575437,-3.5897148,0.703676,-4.2963767,-0.5792637,0.16835204,-5.5569296,-1.375436,-2.4312055,0.39963496,-6.519148,-1.1592473,-2.4237978,-5.6531844,-0.8786643,-2.0320818,-5.72138,1.3004272,-2.8386805,0.058384888,-1.7864137,-3.1133716,-2.5567517,-2.9351125,-3.6549623,-0.98804814,-1.4998256,-3.6171253,-3.7516935,-2.7309139,neutral
-661.9645,66.65587,-0.9321582,14.899042,5.3247027,0.4743426,-3.3466513,-7.1025248,-12.873403,-5.088379,0.0013452609,-3.964232,1.5700024,-4.519395,-2.7574666,0.72773075,-6.1253796,-3.963368,-0.18352371,-0.12927581,-6.4628143,-1.3566461,-2.4518976,-4.0212307,-1.6523416,-0.51918805,-5.061178,-0.4772096,-2.6639094,-0.4519191,-2.2644928,-2.6436503,-2.9371674,-2.361648,-3.3451045,-2.4260595,-1.4600126,-3.2813096,-4.208614,-2.7262053,neutral
-657.72235,65.03519,3.1486719,15.666512,7.5826573,2.628087,-1.8500687,-7.4775777,-11.976265,-4.458463,0.47438172,-2.4187021,0.20188107,-4.0213976,-2.424711,1.2347199,-5.734745,-2.6751382,-0.21636836,-0.62678355,-5.7387567,-2.3356442,-1.8039048,-3.3132305,-2.413657,-1.2878957,-5.555034,-0.6311904,-2.7793753,0.6800431,-2.9185772,-2.8496115,-3.5914876,-3.1040156,-3.4957066,-1.6284109,-1.3048784,-3.0327938,-3.973964,-3.8617797,neutral
-694.5797,72.53172,3.1045628,17.11212,9.077339,1.8362575,-4.1460857,-4.79715,-11.764124,-5.9254804,0.9203605,-3.949307,0.51349884,-4.0536036,-0.62032515,1.7735201,-6.5415187,-0.92214584,-1.4762516,-1.9375759,-5.5625525,-1.5466837,-3.270127,-5.0892906,-2.0948455,-1.445275,-5.67108,1.5286291,-3.6010957,0.5721107,-2.5071304,-1.405873,-2.2903457,-2.8791432,-2.0690928,-0.54446363,-2.073817,-2.0806108,-4.5739417,-3.246941,calm
-676.02344,80.26263,2.5032034,13.3088665,11.569082,1.1933578,-5.3659854,-5.692615,-9.998198,-5.729335,1.9533231,-2.93173,-0.2783358,-4.232111,-2.0333166,1.1834756,-5.973,-2.6199808,-1.0506545,-1.7569709,-5.558182,-2.1492958,-3.129878,-5.115853,-2.582557,-1.6264857,-5.3614106,0.3847888,-3.467788,0.32354203,-4.073999,-2.7750337,-4.0516677,-4.126582,-4.494489,-1.4400599,-2.5257034,-3.6805167,-5.154536,-4.82557,calm
-666.6185,75.51372,0.75422066,15.570238,6.6388927,3.128689,-1.8389338,-5.8404164,-10.310458,-5.500112,2.0212367,-2.0762117,1.449169,-5.423928,1.5644329,-0.05036087,-7.464584,-3.1895034,-0.2026798,-2.1165667,-6.964725,-1.7746928,-2.7236192,-3.833716,-2.7718692,-1.2965734,-6.349638,0.9910259,-4.507697,-0.20283154,-3.7652104,-2.0190783,-2.9941034,-3.6608632,-4.8829856,-2.326971,-2.525656,-2.6970363,-5.524481,-3.400655,calm
-667.1171,79.26518,0.21456456,14.96945,8.738844,1.6147742,-1.5327646,-7.3180475,-9.807106,-5.784626,0.62662566,-2.4500756,1.2911065,-4.725026,0.25915188,0.9932465,-6.755945,-2.528209,-0.9139522,-1.5174525,-7.6917267,-1.9538152,-2.9422507,-2.5979004,-3.1743999,-0.9015693,-5.1737785,0.15214345,-4.5642834,-0.108752966,-4.197777,-2.141779,-2.658834,-3.0961518,-4.1241503,-2.103049,-1.4097146,-2.7554288,-4.043263,-3.9080098,calm
-687.39374,86.30303,4.9101667,16.588547,11.206295,2.0070603,-4.878831,-3.8133447,-7.948538,-5.7055464,2.201086,-0.16574496,-0.3443661,-4.777062,0.1689183,0.49595407,-2.4586952,-3.282157,-0.51892346,1.2123775,-8.704742,-0.005511592,-3.3424685,-4.883253,-2.3363047,-1.0039864,-4.046401,1.1709553,-3.9957614,0.20260535,-4.313591,-3.5529664,-4.675297,-2.614001,-6.5780973,0.5700445,-3.575355,-3.0310507,-5.966482,-3.976595,calm
-632.44934,89.4056,-0.7624838,15.570318,9.03804,0.53648245,-6.240004,-8.146271,-10.77365,-6.5939765,3.489904,-2.0718486,-1.5570124,-6.2938643,-0.25939986,-1.2985005,-5.469112,-3.056781,-1.1076868,-0.44797388,-8.642469,0.058578257,-2.918598,-4.896619,-3.2286775,-2.0899034,-6.127,0.17608722,-3.652066,-0.9486786,-5.3322268,-3.2980518,-5.712328,-3.876625,-7.052361,-1.5666847,-2.775461,-3.0271728,-5.990308,-4.581634,calm
-612.8108,91.1305,3.6563613,14.375622,5.684069,6.5952787,-7.8155255,-7.7080717,-12.261246,-7.3132215,2.3346727,0.59225416,-0.21268293,-6.798617,1.2515185,-2.2120385,-6.800147,-3.5448701,-2.9908338,-0.88931376,-10.403039,-0.67418295,-2.0957515,-6.423266,-3.41632,0.26917648,-7.5568905,1.7350618,-6.386213,-0.40796494,-5.87651,-3.0854404,-4.012864,-3.9857948,-6.4035287,-0.7463749,-2.5170267,-4.669392,-6.8868833,-3.9473896,calm
-615.4578,86.49379,-5.1948757,19.32302,8.7544775,3.5146327,-6.101825,-11.22689,-13.208188,-5.2027082,4.885494,-1.4740357,-0.5125602,-7.3895626,-0.6607963,0.085695006,-6.2415004,-3.198299,-0.84314114,-0.18877523,-9.285505,-2.1676733,-2.014457,-5.0593767,-1.6729469,-0.60578763,-5.6028285,1.131764,-3.6940224,-1.1742232,-5.8070245,-4.0277042,-5.182002,-3.6595755,-5.802527,-0.84912866,-2.177039,-4.197674,-6.078041,-5.1339254,calm
